Player,College,DraftYear,DraftRound,DraftPick,SeasonNum,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
A.J. Hammons,Purdue,2016,2,46,1,24,C,22,0,163,8.4,0.472,0.238,0.476,5.4,21.0,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0.0,-0.001,-6.6,0.0,-6.6,-0.2,
AJ Griffin,Duke,2022,1,16,2,19,SF,92,12,1572,6.8999999999999995,0.4795,0.5575,0.06,2.05,9.899999999999999,5.85,5.35,0.85,0.9,9.2,17.6,0.9,0.9,1.8000000000000003,-0.0225,-3.15,-2.0,-5.2,0.10000000000000003,
Aaron Gordon,Arizona,2014,1,4,3,19,PF,205,117,4958,14.299999999999999,0.5293333333333333,0.26166666666666666,0.29233333333333333,6.8999999999999995,17.733333333333334,12.233333333333334,9.033333333333333,1.4333333333333333,2.0,10.466666666666667,17.633333333333336,5.5,4.6000000000000005,10.100000000000001,0.09200000000000001,-0.6666666666666666,-0.2333333333333333,-0.9,1.7999999999999998,
Aaron Holiday,UCLA,2018,1,23,3,22,PG,182,41,3439,10.9,0.514,0.43166666666666664,0.17866666666666667,1.2666666666666666,8.733333333333333,5.066666666666666,17.46666666666667,1.7,1.2,12.466666666666669,20.03333333333333,-0.09999999999999998,3.3,3.2,0.04566666666666667,-2.1999999999999997,-0.26666666666666666,-2.466666666666667,-0.3999999999999999,
Aaron Nesmith,Vanderbilt,2020,1,14,3,21,SF,171,64,3059,9.066666666666666,0.5486666666666666,0.5903333333333333,0.18033333333333332,3.766666666666666,14.433333333333332,9.166666666666666,5.8,1.4000000000000001,1.2333333333333334,11.633333333333335,15.9,1.0,2.6,3.5,0.055333333333333325,-3.3333333333333335,-0.13333333333333333,-3.5,-0.9,
Aaron Wiggins,Maryland,2021,2,55,3,23,SG,198,53,3734,12.700000000000001,0.609,0.35966666666666663,0.212,5.166666666666667,11.333333333333334,8.233333333333333,8.700000000000001,1.5999999999999999,1.0999999999999999,12.299999999999999,15.4,4.0,3.6,7.5,0.09633333333333333,-1.5,-0.3333333333333333,-1.9000000000000001,0.10000000000000009,
Abdel Nader,Iowa State,2016,2,58,3,24,SF,164,8,2083,8.4,0.5173333333333333,0.4626666666666666,0.22666666666666668,2.1999999999999997,12.766666666666666,7.466666666666666,5.766666666666667,1.3333333333333333,1.7,13.299999999999999,16.400000000000002,-0.4,2.6,2.1,0.04066666666666666,-3.4333333333333336,0.2333333333333333,-3.1666666666666665,-0.4,
Ace Bailey,Rutgers University,2025,1,5,1,19,SF,9,0,166,5.8,0.418,0.322,0.169,9.5,9.8,9.6,12.7,0.9,0.6,15.9,18.5,-0.2,0.0,-0.2,-0.056,-5.7,-2.9,-8.6,-0.3,
Adem Bona,UCLA,2024,2,41,2,21,C,67,14,1046,12.25,0.592,0.034,0.6355,10.25,16.299999999999997,13.2,3.45,1.35,8.3,22.65,11.25,1.2999999999999998,1.1,2.4,0.077,-4.0,0.6,-3.35,-0.30000000000000004,
Admiral Schofield,Tennessee,2019,2,42,3,22,PF,108,3,1288,7.8999999999999995,0.5423333333333333,0.6273333333333334,0.156,3.8666666666666667,12.833333333333334,8.266666666666667,7.6000000000000005,0.7666666666666666,1.0,10.266666666666667,13.5,0.5,0.7,1.2000000000000002,0.044333333333333336,-3.5666666666666664,-1.0333333333333332,-4.6000000000000005,-0.8,
Adreian Payne,Michigan State,2014,1,15,3,23,PF,102,24,1360,9.233333333333333,0.4566666666666667,0.18000000000000002,0.24666666666666667,6.566666666666666,20.233333333333334,13.366666666666667,7.766666666666667,2.0,2.4,15.200000000000001,19.266666666666666,-1.6,0.8,-0.8,0.001999999999999997,-4.966666666666666,-0.2333333333333333,-5.133333333333334,-1.4,
Ajay Mitchell,UC Santa Barbara,2024,2,38,2,22,SG,46,3,873,15.55,0.578,0.3055,0.249,3.6999999999999997,9.65,6.75,18.1,2.5,0.7,11.8,21.049999999999997,1.0,1.5,2.5,0.148,-1.0,0.95,-0.050000000000000044,0.30000000000000004,
Al-Farouq Aminu,Wake Forest,2010,1,8,3,20,SF,223,106,4995,11.299999999999999,0.4996666666666667,0.17366666666666666,0.298,7.266666666666667,19.5,13.366666666666667,7.133333333333333,2.2333333333333334,1.7666666666666666,18.033333333333335,16.033333333333335,-0.5000000000000001,5.6,5.2,0.04633333333333333,-2.3000000000000003,0.6,-1.7,0.6,
Alec Burks,Colorado,2011,1,12,3,20,SG,201,12,4269,13.766666666666666,0.52,0.17833333333333332,0.39399999999999996,4.566666666666666,10.4,7.466666666666666,13.133333333333333,1.5999999999999999,0.6,12.700000000000001,22.366666666666664,4.0,1.7,5.7,0.06333333333333334,-0.7666666666666666,-1.0333333333333332,-1.8,0.49999999999999994,
Alec Peters,Valparaiso,2017,2,54,1,22,PF,20,0,225,10.7,0.523,0.784,0.135,3.7,14.0,8.8,7.9,0.4,0.7,4.9,15.5,0.2,0.0,0.3,0.055,-0.5,-2.3,-2.8,0.0,
Alex Len,Maryland,2013,1,5,3,20,C,189,93,3701,11.066666666666668,0.49766666666666665,0.006333333333333333,0.35833333333333334,10.9,22.233333333333334,16.466666666666665,4.3999999999999995,0.9,3.9666666666666663,18.133333333333336,16.133333333333333,0.5,4.3,4.9,0.055333333333333325,-4.066666666666666,-0.16666666666666666,-4.233333333333333,-1.3,
Alize Johnson,Missouri State,2018,2,50,3,22,PF,49,1,371,14.366666666666667,0.49333333333333335,0.163,0.3453333333333333,12.9,29.96666666666667,21.7,6.866666666666667,1.0999999999999999,2.6666666666666665,9.4,15.800000000000002,0.6,0.6,1.2,0.12166666666666666,-1.5999999999999999,-0.6,-2.1999999999999997,0.1,
Allen Crabbe,California,2013,2,31,3,21,SG,147,17,2888,9.533333333333333,0.524,0.4666666666666666,0.131,1.2,9.433333333333332,5.366666666666667,8.0,1.3,0.9666666666666667,8.200000000000001,14.799999999999999,3.6,2.1,5.7,0.07433333333333333,-2.6333333333333333,2.7755575615628914e-17,-2.6333333333333333,0.6,6MOY-16
Amari Bailey,UCLA,2023,2,41,1,19,PG,10,0,65,9.7,0.425,0.333,0.292,10.1,5.3,7.8,15.2,2.3,0.0,12.9,21.1,-0.1,0.0,-0.1,-0.044,-5.2,-3.1,-8.3,-0.1,
Amari Williams,Kentucky,2025,2,46,1,24,PF,2,0,7,21.6,0.5,0.0,0.0,15.1,16.1,15.5,19.5,7.1,0.0,0.0,12.1,0.0,0.0,0.0,0.249,1.3,5.1,6.4,0.0,
Andre Drummond,UConn,2012,1,9,3,19,C,223,173,6364,21.866666666666664,0.5603333333333333,0.0036666666666666666,0.424,17.066666666666666,28.333333333333332,22.5,3.4,2.0,4.966666666666666,10.866666666666665,18.633333333333333,12.0,10.1,22.1,0.167,1.2,0.0666666666666667,1.2666666666666666,4.8999999999999995,ROY-4
Andre Jackson Jr.,UConn,2023,2,36,3,22,SG,127,51,1565,9.6,0.3833333333333333,0.28200000000000003,0.07733333333333332,8.166666666666666,8.533333333333333,8.366666666666667,12.733333333333334,3.4,0.7333333333333334,14.300000000000002,8.4,0.6,1.5,2.2,0.08633333333333333,-2.6666666666666665,1.7666666666666666,-0.9,-0.5,
Andre Roberson,Colorado,2013,1,26,3,22,SG,177,151,3238,9.433333333333332,0.5323333333333333,0.33,0.19433333333333333,7.233333333333333,14.333333333333334,10.9,5.533333333333334,2.066666666666667,1.9333333333333333,16.166666666666668,9.4,2.5,3.8000000000000003,6.3,0.09433333333333334,-2.3,1.4666666666666668,-0.8666666666666666,1.4,
Andrew Goudelock,College of Charleston,2011,2,46,3,23,SG,49,0,475,4.766666666666667,0.3313333333333333,0.2936666666666667,0.08966666666666667,7.499999999999999,2.9333333333333336,5.166666666666667,7.1000000000000005,2.1333333333333333,1.0999999999999999,11.6,20.5,-0.1,0.2,0.1,-0.09533333333333334,-5.8999999999999995,-2.266666666666667,-8.166666666666666,-0.3,
Andrew Harrison,Kentucky,2015,2,44,3,22,PG,145,64,2987,9.066666666666666,0.48466666666666663,0.412,0.4166666666666667,2.3666666666666667,9.066666666666666,5.6000000000000005,19.46666666666667,1.4666666666666668,1.3666666666666665,15.5,17.599999999999998,0.9,2.2,3.2,0.028666666666666663,-3.6,-0.3666666666666667,-4.0,-0.5,
Andrew Nembhard,Gonzaga,2022,2,31,3,23,SG,208,175,5651,11.0,0.5486666666666666,0.35366666666666663,0.15166666666666667,2.1,8.833333333333334,5.466666666666666,21.633333333333336,1.8,0.43333333333333335,15.733333333333334,16.133333333333336,2.8,3.2,6.0,0.05233333333333332,-2.1999999999999997,-0.3333333333333333,-2.566666666666667,-0.8,
Andrew Nicholson,St. Bonaventure,2012,1,19,3,23,PF,191,36,2915,11.766666666666666,0.5096666666666666,0.14266666666666666,0.15366666666666667,5.033333333333333,17.266666666666666,11.133333333333333,5.633333333333333,0.7999999999999999,1.8333333333333333,11.333333333333334,20.733333333333334,0.3,2.1,2.4,0.03233333333333333,-3.033333333333333,-1.2333333333333334,-4.233333333333333,-1.5,
Andrew Wiggins,Kansas,2014,1,1,3,19,SF,245,245,8862,15.633333333333333,0.5313333333333333,0.14733333333333332,0.3973333333333333,4.366666666666666,8.6,6.466666666666666,10.166666666666666,1.4333333333333333,1.1333333333333335,10.566666666666666,26.266666666666666,8.8,1.6,10.399999999999999,0.05633333333333334,0.39999999999999997,-2.1999999999999997,-1.8,0.4,ROY-1
Andy Rautins,Syracuse,2010,2,38,1,24,SG,5,0,24,-1.2,0.508,0.571,0.286,0.0,4.8,2.4,18.7,2.1,0.0,47.0,27.5,-0.2,0.0,-0.2,-0.314,-8.0,-5.2,-13.2,-0.1,
Anthony Bennett,UNLV,2013,1,1,3,20,PF,128,3,1641,9.566666666666668,0.443,0.2773333333333334,0.29733333333333334,7.633333333333333,20.933333333333334,14.200000000000001,4.233333333333333,2.066666666666667,0.7999999999999999,12.266666666666666,19.099999999999998,-1.2000000000000002,1.2,-2.7755575615628914e-17,0.014333333333333332,-3.8000000000000003,-1.2666666666666666,-5.066666666666666,-1.3,
Anthony Black,Arkansas,2023,1,6,3,20,PG,156,44,3293,10.6,0.553,0.3626666666666667,0.3363333333333333,3.0,10.9,6.866666666666667,14.6,1.9666666666666668,2.3000000000000003,17.433333333333334,17.266666666666666,-0.6,4.8,4.2,0.05933333333333333,-3.0666666666666664,0.7999999999999999,-2.2666666666666666,-0.3,
Anthony Brown,Stanford,2015,2,34,3,23,SF,41,11,762,18.0,0.7856666666666667,0.6986666666666667,0.053,2.3,9.4,5.766666666666667,18.033333333333335,0.9,0.39999999999999997,6.8999999999999995,12.566666666666668,-0.6000000000000001,0.30000000000000004,-0.3,0.18266666666666664,5.733333333333333,1.1333333333333333,6.866666666666667,-0.6,
Anthony Davis,Kentucky,2012,1,1,3,19,PF,199,194,6659,26.333333333333332,0.5773333333333334,0.009333333333333332,0.385,9.5,23.633333333333336,16.5,8.566666666666666,2.1,6.0,8.3,24.933333333333334,20.8,9.8,30.5,0.215,4.133333333333333,1.2666666666666666,5.3999999999999995,12.8,ROY-2
Anthony Edwards,Georgia,2020,1,1,3,19,SG,223,206,7622,15.933333333333332,0.549,0.42933333333333334,0.24133333333333332,2.4,13.966666666666667,8.133333333333333,17.099999999999998,1.9333333333333336,1.6333333333333335,11.966666666666667,27.766666666666666,1.4,7.4,8.899999999999999,0.055,0.7333333333333334,-0.7000000000000001,0.03333333333333329,4.0,ROY-2
Anton Watson,Gonzaga,2024,2,54,1,24,SF,9,0,22,5.9,0.444,0.111,0.0,5.3,10.3,7.8,12.8,2.3,0.0,18.2,21.7,-0.1,0.0,0.0,-0.07,-8.3,-1.8,-10.1,0.0,
Antonio Reeves,Kentucky,2024,2,47,1,24,SG,44,6,660,11.7,0.579,0.52,0.141,2.9,7.6,5.1,8.8,1.5,0.6,10.2,18.8,0.4,0.0,0.4,0.029,-1.2,-2.0,-3.2,-0.2,
Archie Goodwin,Kentucky,2013,1,29,3,19,SG,150,15,2182,10.866666666666667,0.49700000000000005,0.21833333333333335,0.39966666666666667,4.466666666666667,11.4,7.8999999999999995,11.833333333333334,1.5999999999999999,1.3,17.333333333333332,22.0,-0.9,1.4,0.5,0.011999999999999999,-2.6666666666666665,-0.7333333333333334,-3.4333333333333336,-0.9,
Armon Johnson,Nevada,2010,2,34,2,21,PG,47,0,401,11.100000000000001,0.506,0.0945,0.179,2.8000000000000003,11.55,7.0,22.1,1.55,0.15,18.6,22.1,-0.30000000000000004,0.2,-0.19999999999999998,0.0030000000000000027,-2.55,-0.8999999999999999,-3.4,-0.2,
Arnett Moultrie,Mississippi State,2012,1,27,2,22,PF,59,2,729,11.7,0.5215,0.0,0.17049999999999998,10.75,14.600000000000001,12.6,2.2,1.9,1.5499999999999998,13.15,12.399999999999999,1.0,0.7,1.7,0.078,-2.95,-1.2999999999999998,-4.25,-0.19999999999999998,
Asa Newell,Georgia,2025,1,23,1,20,PF,5,0,58,19.5,0.646,0.48,0.12,14.9,12.6,13.8,2.7,3.3,1.6,10.2,21.2,0.1,0.1,0.2,0.154,1.2,-0.5,0.7,0.0,
Austin Rivers,Duke,2012,1,10,3,20,SG,206,35,4320,9.266666666666667,0.4646666666666666,0.2313333333333333,0.2986666666666667,1.8333333333333333,8.666666666666666,5.233333333333333,15.766666666666666,1.4666666666666668,0.6,12.433333333333332,18.666666666666668,-0.5,1.5,0.9999999999999999,0.010333333333333333,-3.0666666666666664,-1.0999999999999999,-4.133333333333334,-2.3,
Avery Bradley,Texas,2010,1,19,3,20,PG,145,78,2965,7.433333333333334,0.4586666666666667,0.15766666666666668,0.15866666666666665,2.9333333333333336,7.5,5.366666666666667,11.433333333333332,2.3333333333333335,0.5666666666666667,15.133333333333333,20.933333333333334,-1.5,3.8,2.3,-0.014000000000000004,-5.7,0.2333333333333333,-5.5,-0.9,DPOY-14
Ayo Dosunmu,Illinois,2021,2,38,3,22,SG,233,128,6420,11.6,0.589,0.3633333333333333,0.14533333333333331,2.1999999999999997,9.166666666666666,5.7,15.1,1.4333333333333333,1.3666666666666665,13.933333333333332,15.4,5.0,5.0,10.0,0.075,-1.8333333333333333,0.09999999999999999,-1.7666666666666666,0.49999999999999994,
Bam Adebayo,Kentucky,2017,1,14,3,20,C,223,119,5698,17.966666666666665,0.597,0.023333333333333334,0.4916666666666667,9.133333333333333,23.5,16.400000000000002,16.466666666666665,1.5666666666666667,3.1,16.1,17.633333333333333,10.299999999999999,9.2,19.5,0.16233333333333333,-0.03333333333333336,1.6333333333333335,1.6000000000000003,5.699999999999999,"DPOY-5,AS,DEF2"
Baylor Scheierman,Creighton,2024,1,30,2,24,SG,39,2,454,12.100000000000001,0.647,0.7889999999999999,0.096,4.95,18.55,11.6,7.5,2.1500000000000004,0.25,8.4,11.3,0.4,0.6,1.0,0.133,-1.5,1.25,-0.25,0.1,
Ben Bentil,Providence,2016,2,51,1,21,PF,3,0,10,-17.6,0.0,0.333,0.0,0.0,24.4,11.6,0.0,0.0,0.0,25.0,18.9,-0.1,0.0,-0.1,-0.473,-19.7,-6.2,-25.9,-0.1,
Ben McLemore,Kansas,2013,1,7,3,20,SG,232,190,6300,8.9,0.5226666666666667,0.4383333333333333,0.21,2.2333333333333334,8.866666666666667,5.599999999999999,7.366666666666667,1.4000000000000001,0.6333333333333333,13.766666666666666,17.233333333333334,1.1999999999999997,2.4,3.5999999999999996,0.023666666666666666,-2.433333333333333,-0.9,-3.3333333333333335,-2.0,
Ben Sheppard,Belmont,2023,1,26,3,22,SG,129,14,2282,8.166666666666666,0.5096666666666667,0.641,0.13033333333333333,3.1666666666666665,12.766666666666666,7.766666666666667,9.266666666666666,1.4000000000000001,0.6666666666666666,7.066666666666667,12.833333333333334,1.2,1.6,3.0,0.051,-3.4,-0.10000000000000002,-3.5,-0.5,
Ben Simmons,LSU,2016,1,1,3,21,PG,217,217,7449,20.133333333333333,0.5803333333333334,0.009333333333333332,0.4163333333333334,6.333333333333333,19.233333333333334,12.966666666666667,35.13333333333333,2.466666666666667,1.7666666666666666,19.733333333333334,21.766666666666666,12.6,11.7,24.299999999999997,0.15766666666666665,1.8333333333333333,2.033333333333333,3.9,11.1,ROY-1
Bennedict Mathurin,Arizona,2022,1,6,3,20,SG,209,85,5909,13.233333333333334,0.569,0.329,0.4013333333333333,4.466666666666667,13.166666666666666,8.799999999999999,8.733333333333334,1.0666666666666667,0.7333333333333334,11.633333333333333,23.599999999999998,3.1,3.3,6.2,0.050333333333333334,-1.2333333333333334,-2.1,-3.3333333333333335,-2.1,"ROY-4,6MOY-8"
Bernard James,Florida State,2012,2,33,3,27,C,92,13,761,13.066666666666668,0.5456666666666666,0.020666666666666667,0.576,12.466666666666667,18.23333333333333,15.366666666666667,2.6999999999999997,1.0,6.233333333333333,17.73333333333333,12.633333333333333,0.9,1.1,1.7999999999999998,0.11,-2.6333333333333333,0.6666666666666666,-1.9000000000000001,0.0,
Blake Wesley,Notre Dame,2022,1,25,3,19,SG,156,4,2228,7.833333333333333,0.48,0.27,0.29866666666666664,2.266666666666667,9.366666666666667,5.733333333333333,22.066666666666666,2.0,0.7666666666666666,20.0,16.633333333333333,-1.9,1.3,-0.5,-0.017666666666666667,-5.266666666666667,-0.6666666666666666,-5.933333333333334,-2.1,
Bobby Portis,Arkansas,2015,1,22,3,20,PF,199,21,3745,16.133333333333333,0.5206666666666667,0.21666666666666667,0.16666666666666666,10.0,22.333333333333332,16.099999999999998,8.799999999999999,1.1333333333333335,1.2333333333333334,9.766666666666667,21.933333333333334,3.4000000000000004,4.0,7.4,0.09366666666666668,0.03333333333333336,-1.3333333333333333,-1.3333333333333333,0.8999999999999999,
Bol Bol,Oregon,2019,2,44,3,20,PF,53,2,328,12.433333333333332,0.572,0.29433333333333334,0.26699999999999996,4.033333333333334,18.766666666666666,11.5,8.299999999999999,0.8666666666666667,4.8999999999999995,17.46666666666667,20.133333333333333,-0.2,0.4,0.2,0.04133333333333333,-2.1999999999999997,-0.4666666666666666,-2.6999999999999997,-0.1,
Bones Hyland,VCU,2021,1,26,3,21,SG,162,10,2935,13.366666666666667,0.5276666666666667,0.5723333333333334,0.16333333333333333,1.4666666666666668,12.1,6.933333333333334,23.03333333333333,1.9000000000000001,1.0999999999999999,12.733333333333334,25.53333333333333,0.9000000000000001,2.9000000000000004,3.8,0.051,-0.6999999999999998,-0.9,-1.6000000000000003,0.6,
Bradley Beal,Florida,2012,1,3,3,19,SG,192,178,6382,13.966666666666667,0.5143333333333334,0.31566666666666665,0.19666666666666668,2.733333333333333,10.200000000000001,6.466666666666666,14.9,1.5666666666666667,0.8666666666666667,10.566666666666666,23.0,3.9000000000000004,6.8,10.7,0.081,0.06666666666666667,-0.09999999999999998,-0.03333333333333333,3.1,ROY-3
Branden Dawson,Michigan State,2015,2,56,1,22,PF,6,0,29,7.1,0.46,0.0,0.2,7.6,7.4,7.5,0.0,0.0,2.7,0.0,8.5,0.0,0.0,0.0,0.069,-3.6,-2.0,-5.7,0.0,
Brandin Podziemski,Santa Clara,2023,1,19,3,20,SG,148,67,3973,13.433333333333332,0.5543333333333333,0.4543333333333333,0.15566666666666665,4.3,16.599999999999998,10.366666666666665,18.266666666666666,1.7666666666666666,0.7333333333333334,11.333333333333334,17.133333333333333,4.2,4.6,8.8,0.09933333333333334,-0.6666666666666666,0.4000000000000001,-0.26666666666666666,2.1999999999999997,ROY-5
Brandon Boston Jr.,Kentucky,2021,2,51,3,20,SG,105,1,1353,11.1,0.49066666666666664,0.301,0.246,4.0,11.133333333333333,7.666666666666667,9.333333333333334,1.7,1.2,9.333333333333334,24.766666666666666,-1.1,1.4,0.30000000000000004,0.008666666666666665,-3.5666666666666664,-1.2666666666666668,-4.833333333333333,-0.8999999999999999,
Brandon Clarke,Gonzaga,2019,1,21,3,23,PF,181,21,3961,20.633333333333333,0.6276666666666667,0.113,0.251,8.633333333333333,18.46666666666667,13.566666666666668,9.766666666666667,1.5333333333333332,3.766666666666667,7.133333333333333,17.866666666666664,10.0,5.5,15.5,0.18866666666666665,1.9666666666666668,1.0,2.9333333333333336,5.0,ROY-4
Brandon Ingram,Duke,2016,1,2,3,19,SF,190,151,6014,11.9,0.5216666666666666,0.18000000000000002,0.35966666666666663,2.8000000000000003,13.166666666666666,7.966666666666666,13.700000000000001,0.9666666666666668,1.5,13.466666666666667,20.733333333333334,0.6,3.9,4.5,0.03866666666666667,-1.7333333333333334,-0.7999999999999999,-2.5333333333333337,-0.9999999999999999,
Brandon Knight,Kentucky,2011,1,8,3,20,PG,213,204,6894,13.4,0.515,0.347,0.24333333333333332,2.1666666666666665,10.066666666666668,6.0,22.900000000000002,1.3333333333333333,0.43333333333333335,15.866666666666667,23.766666666666666,3.0,2.2,5.2,0.035333333333333335,-0.03333333333333336,-1.9333333333333333,-1.9666666666666668,0.09999999999999998,ROY-8
Brandon Miller,Alabama,2023,1,2,3,21,SF,103,97,3347,13.633333333333333,0.5283333333333333,0.49733333333333335,0.24033333333333337,1.8333333333333333,8.299999999999999,5.0,20.833333333333336,1.3666666666666665,1.9666666666666668,10.700000000000001,28.266666666666666,-0.5,1.7,1.2000000000000002,0.020666666666666667,-1.2666666666666668,-1.7000000000000002,-3.0,0.10000000000000003,ROY-3
Brice Johnson,UNC,2016,1,25,2,22,PF,21,0,107,17.7,0.386,0.012,0.0595,11.600000000000001,24.85,18.25,11.0,7.8,7.3,11.35,31.049999999999997,-0.1,0.2,0.2,-0.0415,-4.35,3.1,-1.2,0.0,
Brice Sensabaugh,Ohio State,2023,1,28,3,20,SF,111,26,2123,11.066666666666668,0.5523333333333333,0.6073333333333334,0.18499999999999997,2.066666666666667,14.966666666666667,8.5,12.433333333333332,1.3,0.7999999999999999,13.166666666666666,21.46666666666667,0.4,0.6,0.9999999999999999,0.021666666666666667,-2.0,-1.8,-3.8000000000000003,-0.30000000000000004,
Bronny James,USC,2024,2,55,2,20,SG,34,1,270,7.199999999999999,0.4275,0.389,0.1545,3.45,6.75,5.15,17.35,2.8,1.35,17.2,16.7,-0.3,0.30000000000000004,-0.2,-0.012499999999999999,-5.25,-0.35000000000000003,-5.65,-0.2,
Brooks Barnhizer,Northwestern,2025,2,44,1,23,SG,8,0,53,4.9,0.5,0.0,0.0,4.2,17.6,11.2,2.4,0.9,0.0,11.1,7.3,0.0,0.1,0.1,0.079,-5.9,0.3,-5.5,0.0,
Bruce Brown,Miami (FL),2018,2,42,3,22,SG,197,136,4534,11.633333333333335,0.5303333333333333,0.21666666666666667,0.24466666666666667,5.533333333333334,14.299999999999999,9.933333333333334,13.0,1.7333333333333332,1.7666666666666666,12.933333333333332,14.466666666666667,3.4,4.5,8.0,0.08466666666666667,-2.266666666666667,0.6666666666666666,-1.5333333333333332,0.49999999999999994,
Bruno Fernando,Maryland,2019,2,34,3,21,C,119,13,1091,13.1,0.5626666666666668,0.08900000000000001,0.3973333333333333,10.299999999999999,25.333333333333332,17.900000000000002,7.733333333333333,0.7999999999999999,3.233333333333333,20.533333333333335,17.366666666666667,0.30000000000000004,0.9,1.1,0.05866666666666667,-3.233333333333333,-0.3666666666666667,-3.5666666666666664,-0.6,
Bryce McGowens,Nebraska,2022,2,40,3,20,SG,118,21,1701,6.066666666666666,0.4916666666666667,0.375,0.3983333333333334,3.8000000000000003,8.266666666666666,5.966666666666666,8.633333333333333,1.2,0.6,14.933333333333332,18.900000000000002,-0.1,0.7,0.6,-0.04433333333333333,-6.066666666666666,-2.1,-8.166666666666666,-1.5,
Bub Carrington,Pitt,2024,1,14,2,19,PG,92,62,2733,6.55,0.46599999999999997,0.49950000000000006,0.1555,1.0499999999999998,13.6,7.300000000000001,21.6,1.1,0.7,21.299999999999997,15.25,-1.0,0.6,-0.3,-0.045,-4.949999999999999,-1.75,-6.75,-2.1,
Buddy Hield,Oklahoma,2016,1,6,3,24,SG,244,150,6527,15.133333333333335,0.5616666666666666,0.47,0.10933333333333332,3.033333333333333,13.566666666666668,8.166666666666666,11.666666666666666,1.3666666666666665,0.8333333333333334,10.566666666666666,23.566666666666666,5.6,4.4,10.0,0.069,1.5,-1.0999999999999999,0.3666666666666667,4.2,ROY-4
C.J. Wilcox,Washington,2014,1,28,3,24,SG,66,0,376,8.1,0.449,0.44399999999999995,0.09999999999999999,1.9000000000000001,7.3,4.633333333333333,12.299999999999999,1.8,0.7999999999999999,13.0,19.0,-0.2,0.30000000000000004,0.09999999999999998,-0.008333333333333331,-3.9333333333333336,-0.8666666666666666,-4.833333333333333,-0.30000000000000004,
CJ Elleby,Washington State,2020,2,46,2,20,SF,88,28,1366,9.3,0.47950000000000004,0.46199999999999997,0.25,6.0,13.8,9.75,8.85,1.5,1.5,10.2,16.1,-0.1,0.6,0.5,0.024,-3.9,-1.2,-5.1,-1.1,
CJ McCollum,Lehigh,2013,1,10,3,22,SG,180,83,4229,13.266666666666666,0.533,0.3866666666666667,0.18300000000000002,1.6666666666666667,8.6,5.133333333333334,13.533333333333333,1.8333333333333333,0.5,12.533333333333333,22.833333333333332,4.9,3.1,8.0,0.07066666666666667,-0.6333333333333334,-0.26666666666666666,-0.8999999999999999,2.5,MIP-1
Cade Cunningham,Oklahoma State,2021,1,1,3,20,SG,138,138,4562,14.733333333333334,0.514,0.3036666666666667,0.19666666666666666,2.6,15.6,8.9,32.43333333333333,1.4333333333333333,1.4333333333333333,15.133333333333333,29.433333333333334,-2.1,3.0999999999999996,1.2000000000000002,0.004000000000000001,0.2666666666666666,-0.9,-0.6666666666666666,1.5,ROY-3
Caleb Houstan,Michigan,2022,2,32,3,20,SF,168,23,2415,7.966666666666666,0.565,0.842,0.10466666666666667,3.766666666666667,8.6,6.166666666666667,5.366666666666667,1.0,0.6666666666666666,7.266666666666667,11.733333333333334,1.7,2.2,4.0,0.079,-2.3000000000000003,-0.39999999999999997,-2.6999999999999997,-0.4,
Caleb Swanigan,Purdue,2017,1,26,3,20,PF,75,4,655,6.6000000000000005,0.47433333333333333,0.10266666666666667,0.2773333333333333,9.6,25.433333333333334,17.666666666666668,10.9,1.1333333333333335,1.3333333333333333,28.433333333333334,17.066666666666666,-1.0,0.7,-0.2,-0.019666666666666666,-6.666666666666667,0.4666666666666666,-6.233333333333333,-0.7,
Cam Christie,Minnesota,2024,2,46,2,19,SG,19,0,127,14.7,0.514,0.532,0.366,5.6,15.1,10.45,11.399999999999999,2.45,1.6,5.3,19.9,0.1,0.1,0.2,0.08449999999999999,-0.3500000000000001,0.75,0.3999999999999999,0.1,
Cam Reddish,Duke,2019,1,10,3,20,SF,133,62,3313,10.366666666666667,0.5103333333333334,0.4603333333333333,0.27133333333333337,2.8000000000000003,11.0,6.933333333333334,7.166666666666667,2.1333333333333333,1.3333333333333333,11.633333333333333,20.133333333333333,-1.2999999999999998,2.3,1.0,0.02033333333333333,-2.533333333333333,-0.39999999999999997,-2.9000000000000004,-0.9,
Cam Spencer,UConn,2024,2,53,2,24,SG,35,2,426,15.65,0.627,0.698,0.251,2.8499999999999996,10.4,6.55,21.85,1.9500000000000002,0.2,9.85,17.4,1.0,0.4,1.3,0.1535,1.5499999999999998,0.5,2.05,0.4,
Cam Thomas,LSU,2021,1,27,3,20,SG,190,57,4199,14.166666666666666,0.5466666666666667,0.32366666666666666,0.2906666666666667,1.3,11.1,6.233333333333333,12.699999999999998,1.1666666666666667,0.6333333333333333,9.4,26.8,1.6,2.7,4.3,0.04666666666666667,-0.6666666666666666,-1.7666666666666666,-2.433333333333333,-0.2,
