Player,College,DraftYear,DraftRound,DraftPick,SeasonNum,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Kira Lewis Jr.,Alabama,2020,1,13,3,19,PG,103,0,1480,11.533333333333333,0.509,0.37966666666666665,0.161,2.233333333333333,10.200000000000001,6.2,18.133333333333333,1.9000000000000001,0.7000000000000001,10.866666666666667,20.099999999999998,0.2,1.1,1.4,0.049999999999999996,-2.2666666666666666,-0.3,-2.566666666666667,-0.4,
Klay Thompson,Washington State,2011,1,11,3,21,SG,229,192,7412,13.966666666666667,0.5443333333333333,0.4116666666666666,0.13466666666666668,1.4666666666666668,9.166666666666666,5.366666666666667,11.5,1.4666666666666668,1.0666666666666667,10.733333333333334,23.03333333333333,6.6,6.1,12.7,0.07733333333333334,0.3666666666666667,-0.6666666666666666,-0.3,3.5,ROY-6
Kobe Brown,Missouri,2023,1,30,3,24,PF,89,0,703,8.4,0.43133333333333335,0.5203333333333333,0.15066666666666667,7.933333333333334,18.266666666666666,13.266666666666666,13.433333333333332,0.9333333333333332,0.9666666666666667,15.1,11.9,0.2,0.7,1.0,0.03933333333333333,-3.466666666666667,-0.2666666666666666,-3.6999999999999997,-0.2,
Kobe Bufkin,Michigan,2023,1,15,2,20,SG,27,0,320,9.8,0.4535,0.4195,0.235,3.75,15.05,9.25,18.75,1.4,1.9,11.1,21.6,-0.3,0.2,-0.1,-0.006500000000000001,-3.8499999999999996,-0.35,-4.25,-0.2,
Kobe Sanders,Nevada,2025,2,50,1,23,SG,2,0,9,6.2,0.25,0.25,0.0,0.0,12.5,6.5,15.5,11.1,0.0,20.0,24.6,-0.1,0.0,0.0,-0.202,-13.7,3.3,-10.4,0.0,
Koby Brea,Kentucky,2025,2,41,1,23,SG,1,0,4,35.1,0.694,0.5,1.0,0.0,0.0,0.0,41.1,0.0,0.0,0.0,30.1,0.0,0.0,0.0,0.457,6.4,-2.2,4.1,0.0,
Kon Knueppel,Duke,2025,1,4,1,20,SF,9,8,284,12.5,0.602,0.643,0.157,2.0,18.7,10.7,10.8,0.8,0.3,13.4,20.5,0.2,0.1,0.3,0.057,-0.3,-1.8,-2.1,0.0,
Kostas Antetokounmpo,Dayton,2018,2,60,3,21,PF,22,0,87,5.133333333333334,0.498,0.0,1.0999999999999999,6.3999999999999995,15.0,10.733333333333334,5.333333333333333,3.5,2.1333333333333333,26.366666666666664,17.833333333333332,-0.3,0.1,-0.2,-0.076,-8.566666666666668,-0.06666666666666665,-8.666666666666666,-0.1,
Kris Dunn,Providence,2016,1,5,3,22,PG,176,94,4247,11.666666666666666,0.46799999999999997,0.208,0.165,1.7333333333333334,13.433333333333332,7.466666666666666,27.566666666666663,2.9,1.7333333333333334,18.099999999999998,19.666666666666668,-2.7,4.4,1.6,0.017666666666666667,-3.233333333333333,1.0333333333333334,-2.2666666666666666,-0.2,
Kris Joseph,Syracuse,2012,2,51,1,24,SF,10,0,54,0.6,0.257,0.214,0.571,2.3,12.9,7.7,2.8,3.0,0.0,10.2,17.0,-0.2,0.1,-0.1,-0.127,-8.7,-1.2,-9.9,-0.1,
Kris Murray,Iowa,2023,1,23,3,23,SF,139,35,2566,8.666666666666666,0.49333333333333335,0.4183333333333333,0.15233333333333332,6.5,10.533333333333333,8.4,7.766666666666667,1.9333333333333333,1.3,12.433333333333332,12.799999999999999,-0.6000000000000001,2.1,1.5999999999999999,0.037333333333333336,-3.466666666666667,0.3333333333333333,-3.1,-0.8999999999999999,
Kyle Anderson,UCLA,2014,1,30,3,21,SF,183,33,2623,11.200000000000001,0.48066666666666674,0.14666666666666667,0.23700000000000002,2.566666666666667,19.733333333333334,11.366666666666667,12.333333333333334,2.3666666666666667,1.8,12.966666666666667,13.299999999999999,1.0999999999999999,5.4,6.5,0.10133333333333333,-2.3,2.8666666666666667,0.6,2.2,
Kyle Filipowski,Duke,2024,2,32,2,21,C,81,32,1695,12.25,0.5315,0.433,0.2735,8.85,20.6,14.75,15.75,1.3,1.6,14.600000000000001,18.45,1.5,1.1,2.6,0.049,-2.3499999999999996,-0.5,-2.9,0.30000000000000004,
Kyle Guy,Virginia,2019,2,55,3,22,SG,53,0,431,8.200000000000001,0.4583333333333333,0.5793333333333334,0.13733333333333334,1.5999999999999999,11.233333333333334,6.366666666666667,15.666666666666666,1.0333333333333332,0.19999999999999998,8.6,20.433333333333334,-0.2,0.30000000000000004,0.0,-0.008333333333333331,-4.766666666666667,-2.4,-7.166666666666667,-0.30000000000000004,
Kyle Kuzma,Utah,2017,1,27,3,22,PF,208,114,6241,13.466666666666667,0.542,0.4043333333333334,0.22066666666666668,3.466666666666667,15.733333333333333,9.666666666666666,9.4,0.9,1.1666666666666667,10.666666666666666,23.066666666666666,2.8,6.1,8.9,0.06833333333333334,-0.5,-1.0666666666666667,-1.5666666666666667,1.0,"ROY-4,6MOY-9"
Kyle O'Quinn,Norfolk State,2012,2,49,3,22,C,177,41,2650,15.700000000000001,0.537,0.06366666666666666,0.2293333333333333,9.066666666666666,24.03333333333333,16.466666666666665,11.766666666666666,1.5,4.233333333333333,15.933333333333335,18.133333333333336,1.7,3.8000000000000003,5.5,0.09966666666666667,-1.9333333333333333,1.2333333333333334,-0.7333333333333334,1.0,
Kyle Singler,Duke,2011,2,33,3,24,SF,244,168,6373,10.1,0.5343333333333333,0.4203333333333334,0.20533333333333334,4.2,10.233333333333333,7.133333333333333,5.766666666666667,1.3333333333333333,1.2,11.066666666666668,14.333333333333334,5.6000000000000005,3.0999999999999996,8.7,0.06466666666666666,-1.6666666666666667,-0.5,-2.1666666666666665,-0.3,
