,,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,,
Rk,Sn,Rd,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,
818,2012,2,38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-3.9,-0.5,
819,2012,2,39,DET,Khris Middleton,Texas A&M,14,783,23994,12973,3729,3083,0.46,0.387,0.877,30.6,16.6,4.8,3.9,58,0.116,0.7,16.4,
820,2012,2,40,POR,Will Barton,Memphis,11,679,17116,7625,2792,1817,0.43,0.355,0.787,25.2,11.2,4.1,2.7,26.5,0.074,-0.4,6.9,
821,2012,2,41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8,
822,2012,2,42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.8,-1.2,
823,2012,2,43,ATL,Mike Scott,Virginia,9,555,9182,3736,1727,499,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,-1.7,0.6,
824,2012,2,44,DET,Kim English,Missouri,1,41,407,119,37,26,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2,
825,2012,2,45,PHI,Justin Hamilton,LSU,3,113,1961,687,403,91,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.9,0.5,
826,2012,2,46,NOH,Darius Miller,Kentucky,6,271,5358,1597,447,367,0.419,0.383,0.84,19.8,5.9,1.6,1.4,6.5,0.059,-2.3,-0.4,
827,2012,2,47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-16.8,-0.2,
828,2012,2,48,NYK,Kostas Papanikolaou,,2,69,1089,249,158,101,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.7,-0.2,
829,2012,2,49,ORL,Kyle O'Quinn,Norfolk State,8,472,6714,2568,2166,643,0.517,0.218,0.74,14.2,5.4,4.6,1.4,17.8,0.128,0.9,5,
830,2012,2,50,DEN,İzzet Türkyılmaz,,,,,,,,,,,,,,,,,,,
831,2012,2,51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-9.9,-0.1,
832,2012,2,52,GSW,Ognjen Kuzmić,,2,37,164,35,38,8,0.52,,0.6,4.4,0.9,1,0.2,0.2,0.061,-5.6,-0.2,
833,2012,2,53,LAC,Furkan Aldemir,,1,41,540,93,176,28,0.513,0,0.481,13.2,2.3,4.3,0.7,1.4,0.122,-3.6,-0.2,
834,2012,2,54,PHI,Tornike Shengelia,,2,45,247,59,39,17,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-7,-0.3,
835,2012,2,55,DAL,Darius Johnson-Odom,Marquette,2,7,21,0,6,2,0,0,0,3,0,0.9,0.3,-0.3,-0.597,-25.5,-0.1,
836,2012,2,56,TOR,Tomislav Zubčić,,,,,,,,,,,,,,,,,,,
837,2012,2,57,NJN,İlkan Karaman,,,,,,,,,,,,,,,,,,,
838,2012,2,58,MIN,Robbie Hummel,Purdue,2,98,1397,379,266,50,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-3.1,-0.4,
839,2012,2,59,SAS,Marcus Denmon,Missouri,,,,,,,,,,,,,,,,,,
840,2012,2,60,LAL,Robert Sacre,Gonzaga,4,189,2745,787,593,126,0.436,0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-4,-1.4,
841,2011,1,1,CLE,Kyrie Irving,Duke,14,779,26879,18433,3173,4364,0.474,0.394,0.888,34.5,23.7,4.1,5.6,91,0.163,4.5,43.7,
842,2011,1,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-1.6,0.8,
