,,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,,
Rk,Sn,Rd,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,
918,2010,1,18,OKC,Eric Bledsoe,Kentucky,12,756,21021,10348,2937,3545,0.452,0.336,0.784,27.8,13.7,3.9,4.7,46.1,0.105,1.6,18.8,
919,2010,1,19,BOS,Avery Bradley,Texas,12,660,18151,7279,1863,1105,0.434,0.365,0.783,27.5,11,2.8,1.7,17.2,0.045,-2.4,-1.8,
920,2010,1,20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.7,-0.8,
921,2010,1,21,OKC,Craig Brackins,Iowa State,2,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.9,-0.2,
922,2010,1,22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-4.9,-1.1,
923,2010,1,23,MIN,Trevor Booker,Clemson,8,532,10872,3679,2932,565,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,-0.5,4.2,
924,2010,1,24,ATL,Damion James,Texas,4,39,623,150,131,26,0.415,0,0.667,16,3.8,3.4,0.7,0,-0.001,-3.7,-0.3,
925,2010,1,25,MEM,Dominique Jones,South Florida,3,80,741,246,114,144,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-2.4,-0.1,
926,2010,1,26,OKC,Quincy Pondexter,Washington,7,355,5530,1609,640,263,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,-1.8,0.3,
927,2010,1,27,NJN,Jordan Crawford,Xavier,6,281,6843,3432,703,883,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-1.3,1.3,
928,2010,1,28,MEM,Greivis Vásquez,Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.817,23.7,9,2.5,4.8,12.6,0.064,-1.2,1.8,
929,2010,1,29,ORL,Daniel Orton,Kentucky,3,51,542,143,126,24,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093,-3.5,-0.2,
930,2010,1,30,WAS,Lazar Hayward,Marquette,3,72,591,207,90,35,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.2,-0.3,
931,2010,2,31,NJN,Tibor Pleiß,,1,12,82,24,15,2,0.44,0,1,6.8,2,1.3,0.2,-0.1,-0.041,-11.6,-0.2,
932,2010,2,32,MIA,Dexter Pittman,Texas,4,50,347,116,89,9,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-7.7,-0.5,
933,2010,2,33,SAC,Hassan Whiteside,Marshall,10,511,12645,6450,5523,327,0.586,0.308,0.605,24.7,12.6,10.8,0.6,52,0.197,2.5,14.5,
934,2010,2,34,POR,Armon Johnson,Nevada,2,47,401,157,49,56,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-4.1,-0.2,
935,2010,2,35,WAS,Nemanja Bjelica,,7,449,9173,3412,2051,826,0.466,0.384,0.759,20.4,7.6,4.6,1.8,20,0.104,0.3,5.4,
936,2010,2,36,DET,Terrico White,Ole Miss,,,,,,,,,,,,,,,,,,
937,2010,2,37,MIL,Darington Hobson,New Mexico,1,5,39,4,3,6,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13,-0.1,
938,2010,2,38,NYK,Andy Rautins,Syracuse,1,5,24,8,1,3,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-13.2,-0.1,
939,2010,2,39,NYK,Landry Fields,Stanford,5,255,6010,1731,1092,419,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.3,2.6,
940,2010,2,40,IND,Lance Stephenson,Cincinnati,10,554,12680,4738,2251,1621,0.445,0.314,0.694,22.9,8.6,4.1,2.9,17.5,0.066,-1.3,2.3,
941,2010,2,41,MIA,Jarvis Varnado,Mississippi State,2,37,397,107,72,16,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-3.3,-0.1,
942,2010,2,42,MIA,Da'Sean Butler,West Virginia,,,,,,,,,,,,,,,,,,
943,2010,2,43,LAL,Devin Ebanks,West Virginia,3,63,711,224,122,24,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5,
944,2010,2,44,MIL,Jerome Jordan,Tulsa,2,65,491,180,132,17,0.528,,0.852,7.6,2.8,2,0.3,1.7,0.168,-1,0.1,
945,2010,2,45,MIN,Paulão Prestes,,,,,,,,,,,,,,,,,,,
946,2010,2,46,PHO,Gani Lawal,Georgia Tech,1,1,2,0,0,0,,,,2,0,0,0,0,-0.009,-15,0,
947,2010,2,47,MIL,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,,,,,
948,2010,2,48,MIA,Latavious Williams,,,,,,,,,,,,,,,,,,,
949,2010,2,49,SAS,Ryan Richards,,,,,,,,,,,,,,,,,,,
950,2010,2,50,DAL,Solomon Alabi,Florida State,2,26,181,39,61,5,0.314,,0.7,7,1.5,2.3,0.2,0,0.01,-4.4,-0.1,
951,2010,2,51,OKC,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,,,,,
952,2010,2,52,BOS,Luke Harangody,Notre Dame,2,70,871,253,196,36,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3,
953,2010,2,53,ATL,Pape Sy,,1,3,21,7,3,2,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0,
954,2010,2,54,LAC,Willie Warren,Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-2.7,0,
955,2010,2,55,UTA,Jeremy Evans,Western Kentucky,7,250,2626,879,641,107,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,0.9,1.9,
956,2010,2,56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-7.3,-0.2,
957,2010,2,57,IND,Ryan Reid,Florida State,1,5,17,8,2,0,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-2,0,
958,2010,2,58,LAL,Derrick Caracter,Texas-El Paso,1,41,215,81,43,7,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-7.1,-0.3,
959,2010,2,59,ORL,Stanley Robinson,UConn,,,,,,,,,,,,,,,,,,
960,2010,2,60,PHO,Dwayne Collins,Miami (FL),,,,,,,,,,,,,,,,,,
