Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Aaron Nesmith,Vanderbilt,2020,1,14,2021,2,22,BOS,SF,52,3,574,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,-0.4,0.9,0.4,0.038,-4.9,0.7,-4.3,-0.3,
Aaron Nesmith,Vanderbilt,2020,1,14,2022,3,23,IND,SF,73,60,1816,10.5,0.566,0.532,0.241,3.8,13.1,8.5,7.4,1.4,1.6,10.3,16.8,0.9,1.1,2.0,0.052,-2.3,-0.7,-3.0,-0.4,
Aaron Nesmith,Vanderbilt,2020,1,14,2023,4,24,IND,SF,72,47,1995,12.8,0.631,0.526,0.216,3.6,12.0,7.8,6.6,1.5,2.0,8.4,16.0,2.8,1.3,4.1,0.098,-0.3,-0.2,-0.5,0.8,
Aaron Nesmith,Vanderbilt,2020,1,14,2024,5,25,IND,SF,45,37,1123,14.6,0.653,0.515,0.211,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4,1.9,1.0,2.9,0.126,0.0,-0.5,-0.5,0.4,
Aaron Nesmith,Vanderbilt,2020,1,14,2025,6,26,IND,SF,9,9,283,11.4,0.516,0.573,0.266,5.2,10.1,7.4,5.1,1.2,0.6,5.5,20.8,0.1,0.3,0.3,0.058,-0.8,-1.5,-2.3,0.0,
Aaron Wiggins,Maryland,2021,2,55,2021,1,23,OKC,SG,50,35,1209,10.3,0.556,0.409,0.252,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,
Aaron Wiggins,Maryland,2021,2,55,2022,2,24,OKC,SG,70,14,1297,12.2,0.607,0.336,0.196,5.5,12.0,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,2.6,0.097,-1.5,-0.5,-2.1,0.0,
Aaron Wiggins,Maryland,2021,2,55,2023,3,25,OKC,SG,78,4,1228,15.6,0.664,0.334,0.188,5.7,11.0,8.4,9.3,2.2,1.4,12.1,16.4,2.1,1.6,3.7,0.144,0.4,0.4,0.7,0.8,
Aaron Wiggins,Maryland,2021,2,55,2024,4,26,OKC,SG,76,26,1744,16.1,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1.0,8.3,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4,
Aaron Wiggins,Maryland,2021,2,55,2025,5,27,OKC,SG,9,5,248,15.1,0.578,0.541,0.081,4.1,10.0,7.2,12.0,0.8,2.9,7.3,21.6,0.3,0.4,0.7,0.132,1.5,-1.1,0.4,0.1,
