Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Doug McDermott,Creighton,2014,1,11,2014,1,23,CHI,SF,36,0,321,6.1,0.48,0.383,0.14,2.1,12.2,7.3,3.0,0.6,0.2,13.0,18.3,-0.3,0.2,0.0,-0.005,-4.1,-1.9,-6.0,-0.3,
Doug McDermott,Creighton,2014,1,11,2015,2,24,CHI,SF,81,4,1861,10.9,0.561,0.402,0.13,2.1,8.8,5.5,5.0,0.4,0.2,7.2,17.3,2.1,0.7,2.8,0.073,-1.0,-1.9,-2.9,-0.4,
Doug McDermott,Creighton,2014,1,11,2016,3,25,2TM,SF,66,5,1508,10.7,0.554,0.419,0.169,1.4,11.5,6.4,5.9,0.4,0.3,6.6,16.4,1.6,1.0,2.6,0.083,-0.9,-1.4,-2.3,-0.1,
Drake Powell,UNC,2025,1,22,2025,1,20,BRK,SG,3,0,39,4.7,0.556,0.333,0.0,5.3,12.7,8.7,11.4,1.2,0.0,30.8,13.9,-0.1,0.0,-0.1,-0.08,-7.1,-2.0,-9.2,-0.1,
Draymond Green,Michigan State,2012,2,35,2012,1,22,GSW,SF,79,1,1061,7.1,0.404,0.261,0.214,6.2,20.3,13.5,7.0,2.0,1.8,15.4,14.0,-0.9,1.6,0.6,0.028,-5.0,1.4,-3.6,-0.4,
Draymond Green,Michigan State,2012,2,35,2013,2,23,GSW,SF,82,12,1797,12.7,0.498,0.359,0.268,5.3,19.3,12.4,11.9,2.8,3.0,15.1,14.8,0.7,3.8,4.5,0.119,-1.7,3.6,1.9,1.8,
Draymond Green,Michigan State,2012,2,35,2014,3,24,GSW,PF,79,79,2490,16.4,0.54,0.43,0.261,5.1,22.4,14.0,16.1,2.4,2.9,13.5,17.2,3.3,5.2,8.5,0.163,0.7,2.8,3.5,3.5,"DPOY-2,DEF1"
Dwayne Bacon,Florida State,2017,2,40,2017,1,22,CHO,SG,53,6,713,5.8,0.431,0.224,0.13,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-0.007,-4.8,0.1,-4.7,-0.5,
Dwayne Bacon,Florida State,2017,2,40,2018,2,23,CHO,SG,43,13,759,11.7,0.57,0.339,0.179,1.1,11.7,6.3,9.2,0.8,0.6,6.1,16.8,0.9,0.3,1.2,0.073,-2.1,-1.6,-3.7,-0.3,
Dwayne Bacon,Florida State,2017,2,40,2019,3,24,CHO,SG,39,11,687,6.1,0.419,0.275,0.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8,
Dwight Powell,Stanford,2014,2,45,2014,1,23,2TM,PF,29,0,236,13.8,0.552,0.164,0.493,8.3,14.9,11.6,5.5,1.9,2.1,11.9,17.5,0.3,0.3,0.6,0.122,-1.7,0.7,-1.0,0.1,
