Player,DraftStatus,DraftYear,DraftRound,DraftPick,Rk,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Jordan Ford,Undrafted,,,,1445,2023,1,25,SAC,PG,6,0,22,16.8,0.761,0.429,0.286,0.0,10.4,5.1,12.8,0.0,0.0,11.3,17.3,0.1,0.0,0.1,0.157,3.3,-1.1,2.2,0.0,
Jordan Goodwin,Undrafted,,,,2544,2021,1,23,WAS,SG,2,0,6,-20.4,0.0,0.333,0.0,0.0,18.2,9.2,0.0,0.0,0.0,0.0,22.2,-0.1,0.0,-0.1,-0.533,-24.7,-9.4,-34.1,0.0,
Jordan Goodwin,Undrafted,,,,1764,2022,2,24,WAS,PG,62,7,1106,14.8,0.531,0.334,0.195,6.0,14.3,10.3,20.8,2.6,2.0,12.9,17.3,0.9,1.3,2.2,0.097,-0.7,1.4,0.7,0.8,
Jordan Goodwin,Undrafted,,,,1420,2023,3,25,2TM,PG,57,12,1055,12.6,0.451,0.369,0.154,9.3,17.3,13.3,20.9,2.2,1.6,12.1,19.0,-0.2,1.4,1.2,0.054,-1.5,0.5,-1.0,0.3,
Jordan Goodwin,Undrafted,,,,846,2024,4,26,LAL,PG,29,5,543,12.1,0.541,0.472,0.076,8.1,14.9,11.6,10.5,2.7,1.9,14.9,14.1,0.2,0.7,1.0,0.084,-1.7,0.8,-0.8,0.2,
Jordan Goodwin,Undrafted,,,,279,2025,5,27,PHO,PG,7,0,96,7.7,0.484,0.733,0.233,5.8,10.8,8.3,12.4,3.5,1.0,23.2,18.7,-0.1,0.1,0.0,-0.023,-5.4,-0.3,-5.7,-0.1,
Jordan Hall,Undrafted,,,,1783,2022,1,21,SAS,SF,9,0,83,5.5,0.438,0.536,0.321,3.8,12.3,7.9,17.0,0.6,0.0,18.0,19.4,-0.1,0.0,-0.1,-0.077,-4.7,-2.9,-7.6,-0.1,
Jordan Hamilton,Drafted,2011.0,1,26,7469,2011,1,21,DEN,SF,26,2,258,13.9,0.508,0.423,0.045,5.1,22.4,14.0,12.6,0.8,0.9,12.4,22.3,0.1,0.2,0.3,0.055,1.3,-1.1,0.1,0.1,
Jordan Hamilton,Drafted,2011.0,1,26,6981,2012,2,22,DEN,SF,40,1,397,16.9,0.49,0.363,0.129,9.2,17.4,13.4,9.2,1.9,1.6,8.2,25.3,0.4,0.5,0.8,0.1,2.1,-1.2,0.9,0.3,
Jordan Hamilton,Drafted,2011.0,1,26,6516,2013,3,23,2TM,SF,60,12,1019,12.7,0.507,0.527,0.136,3.5,17.1,10.4,7.9,2.1,1.5,10.4,18.7,0.4,1.1,1.6,0.073,0.2,0.6,0.7,0.7,
Jordan Hamilton,Drafted,2011.0,1,26,6035,2014,4,24,LAC,SF,14,2,122,8.3,0.543,0.6,0.0,1.9,12.7,7.4,8.2,0.8,0.0,10.3,14.4,0.1,0.1,0.1,0.059,-1.7,-0.7,-2.4,0.0,
Jordan Hamilton,Drafted,2011.0,1,26,5540,2015,5,25,NOP,SF,11,4,304,12.4,0.499,0.388,0.181,4.2,18.9,11.3,12.9,1.3,0.8,12.0,20.7,0.0,0.2,0.2,0.03,-1.6,-1.7,-3.3,-0.1,
Jordan Hawkins,Drafted,2023.0,1,14,1387,2023,1,21,NOP,SG,67,10,1160,10.2,0.533,0.654,0.175,2.8,11.3,7.1,8.2,0.8,0.6,7.5,19.9,0.3,1.0,1.3,0.053,-1.3,-1.7,-3.1,-0.3,
Jordan Hawkins,Drafted,2023.0,1,14,820,2024,2,22,NOP,SG,56,9,1321,9.6,0.504,0.597,0.176,2.0,11.2,6.5,7.3,1.1,1.7,8.8,21.0,-0.7,0.1,-0.5,-0.02,-2.4,-3.0,-5.4,-1.2,
Jordan Hawkins,Drafted,2023.0,1,14,256,2025,3,23,NOP,SG,8,0,119,4.1,0.369,0.512,0.093,3.4,9.0,6.0,6.0,0.8,0.0,4.3,16.6,-0.2,0.0,-0.2,-0.09,-5.4,-3.6,-9.0,-0.2,
